Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)
04/15/1993,1.078
05/15/1993,1.1
06/15/1993,1.097
07/15/1993,1.078
08/15/1993,1.062
09/15/1993,1.05
10/15/1993,1.092
11/15/1993,1.066
12/15/1993,1.014
01/15/1994,0.998
02/15/1994,1.009
03/15/1994,1.008
04/15/1994,1.027
05/15/1994,1.047
06/15/1994,1.078
07/15/1994,1.106
08/15/1994,1.155
09/15/1994,1.144
10/15/1994,1.114
11/15/1994,1.119
12/15/1994,1.129
01/15/1995,1.13
02/15/1995,1.12
03/15/1995,1.119
04/15/1995,1.157
05/15/1995,1.225
06/15/1995,1.239
07/15/1995,1.201
08/15/1995,1.17
09/15/1995,1.158
10/15/1995,1.134
11/15/1995,1.109
12/15/1995,1.118
01/15/1996,1.137
02/15/1996,1.136
03/15/1996,1.183
04/15/1996,1.275
05/15/1996,1.324
06/15/1996,1.3
07/15/1996,1.272
08/15/1996,1.251
09/15/1996,1.247
10/15/1996,1.249
11/15/1996,1.278
12/15/1996,1.282
01/15/1997,1.283
02/15/1997,1.276
03/15/1997,1.251
04/15/1997,1.244
05/15/1997,1.245
06/15/1997,1.242
07/15/1997,1.22
08/15/1997,1.268
09/15/1997,1.276
10/15/1997,1.242
11/15/1997,1.216
12/15/1997,1.177
01/15/1998,1.132
02/15/1998,1.096
03/15/1998,1.064
04/15/1998,1.077
05/15/1998,1.105
06/15/1998,1.103
07/15/1998,1.094
08/15/1998,1.065
09/15/1998,1.049
10/15/1998,1.059
11/15/1998,1.036
12/15/1998,0.987
01/15/1999,0.98
02/15/1999,0.962
03/15/1999,1.022
04/15/1999,1.171
05/15/1999,1.171
06/15/1999,1.154
07/15/1999,1.197
08/15/1999,1.26
09/15/1999,1.295
10/15/1999,1.285
11/15/1999,1.292
12/15/1999,1.313
01/15/2000,1.329
02/15/2000,1.415
03/15/2000,1.556
04/15/2000,1.506
05/15/2000,1.526
06/15/2000,1.666
07/15/2000,1.591
08/15/2000,1.506
09/15/2000,1.588
10/15/2000,1.571
11/15/2000,1.557
12/15/2000,1.483
01/15/2001,1.487
02/15/2001,1.49
03/15/2001,1.45
04/15/2001,1.591
05/15/2001,1.738
06/15/2001,1.658
07/15/2001,1.466
08/15/2001,1.461
09/15/2001,1.557
10/15/2001,1.357
11/15/2001,1.212
12/15/2001,1.127
01/15/2002,1.148
02/15/2002,1.155
03/15/2002,1.289
04/15/2002,1.439
05/15/2002,1.434
06/15/2002,1.424
07/15/2002,1.438
08/15/2002,1.438
09/15/2002,1.441
10/15/2002,1.486
11/15/2002,1.461
12/15/2002,1.429
01/15/2003,1.5
